Year,Genre,Owners
1997,360 Video,0.0
1998,360 Video,0.0
1999,360 Video,0.0
2000,360 Video,0.0
2001,360 Video,0.0
2002,360 Video,0.0
2003,360 Video,0.0
2004,360 Video,0.0
2005,360 Video,0.0
2006,360 Video,0.0
2007,360 Video,0.0
2008,360 Video,0.0
2009,360 Video,0.0
2010,360 Video,0.0
2011,360 Video,0.0
2012,360 Video,0.0
2013,360 Video,0.0
2014,360 Video,0.0
2015,360 Video,0.0
2016,360 Video,0.0
2017,360 Video,0.0
2018,360 Video,0.0
2019,360 Video,0.0
2020,360 Video,10000.0
2021,360 Video,0.0
2022,360 Video,0.0
2023,360 Video,0.0
2024,360 Video,0.0
2025,360 Video,0.0
1997,Accounting,0.0
1998,Accounting,0.0
1999,Accounting,0.0
2000,Accounting,0.0
2001,Accounting,0.0
2002,Accounting,0.0
2003,Accounting,0.0
2004,Accounting,0.0
2005,Accounting,0.0
2006,Accounting,0.0
2007,Accounting,0.0
2008,Accounting,0.0
2009,Accounting,0.0
2010,Accounting,0.0
2011,Accounting,0.0
2012,Accounting,0.0
2013,Accounting,0.0
2014,Accounting,0.0
2015,Accounting,0.0
2016,Accounting,40000.0
2017,Accounting,320000.0
2018,Accounting,215000.0
2019,Accounting,20000.0
2020,Accounting,30000.0
2021,Accounting,10000.0
2022,Accounting,0.0
2023,Accounting,0.0
2024,Accounting,85000.0
2025,Accounting,20000.0
1997,Action,3650000.0
1998,Action,15000000.0
1999,Action,5000000.0
2000,Action,15350000.0
2001,Action,9750000.0
2002,Action,1500000.0
2003,Action,7650000.0
2004,Action,71000000.0
2005,Action,35750000.0
2006,Action,33310000.0
2007,Action,141720000.0
2008,Action,47185000.0
2009,Action,146960000.0
2010,Action,90560000.0
2011,Action,148260000.0
2012,Action,308090000.0
2013,Action,466550000.0
2014,Action,300920000.0
2015,Action,417230000.0
2016,Action,398070000.0
2017,Action,665720000.0
2018,Action,382490000.0
2019,Action,355960000.0
2020,Action,572320000.0
2021,Action,425095000.0
2022,Action,471825000.0
2023,Action,335410000.0
2024,Action,537600000.0
2025,Action,265445000.0
1997,Adventure,0.0
1998,Adventure,0.0
1999,Adventure,0.0
2000,Adventure,0.0
2001,Adventure,0.0
2002,Adventure,1500000.0
2003,Adventure,0.0
2004,Adventure,0.0
2005,Adventure,0.0
2006,Adventure,0.0
2007,Adventure,3350000.0
2008,Adventure,15400000.0
2009,Adventure,29495000.0
2010,Adventure,28055000.0
2011,Adventure,79690000.0
2012,Adventure,91155000.0
2013,Adventure,166590000.0
2014,Adventure,166535000.0
2015,Adventure,305525000.0
2016,Adventure,288650000.0
2017,Adventure,550570000.0
2018,Adventure,332085000.0
2019,Adventure,236635000.0
2020,Adventure,431705000.0
2021,Adventure,377335000.0
2022,Adventure,337655000.0
2023,Adventure,322040000.0
2024,Adventure,502475000.0
2025,Adventure,182620000.0
1997,Animation & Modeling,0.0
1998,Animation & Modeling,0.0
1999,Animation & Modeling,0.0
2000,Animation & Modeling,0.0
2001,Animation & Modeling,0.0
2002,Animation & Modeling,0.0
2003,Animation & Modeling,0.0
2004,Animation & Modeling,0.0
2005,Animation & Modeling,0.0
2006,Animation & Modeling,0.0
2007,Animation & Modeling,0.0
2008,Animation & Modeling,0.0
2009,Animation & Modeling,0.0
2010,Animation & Modeling,0.0
2011,Animation & Modeling,0.0
2012,Animation & Modeling,1510000.0
2013,Animation & Modeling,545000.0
2014,Animation & Modeling,625000.0
2015,Animation & Modeling,8865000.0
2016,Animation & Modeling,2135000.0
2017,Animation & Modeling,970000.0
2018,Animation & Modeling,36260000.0
2019,Animation & Modeling,1085000.0
2020,Animation & Modeling,6040000.0
2021,Animation & Modeling,3070000.0
2022,Animation & Modeling,595000.0
2023,Animation & Modeling,585000.0
2024,Animation & Modeling,410000.0
2025,Animation & Modeling,360000.0
1997,Audio Production,0.0
1998,Audio Production,0.0
1999,Audio Production,0.0
2000,Audio Production,0.0
2001,Audio Production,0.0
2002,Audio Production,0.0
2003,Audio Production,0.0
2004,Audio Production,0.0
2005,Audio Production,0.0
2006,Audio Production,0.0
2007,Audio Production,0.0
2008,Audio Production,0.0
2009,Audio Production,0.0
2010,Audio Production,0.0
2011,Audio Production,0.0
2012,Audio Production,0.0
2013,Audio Production,225000.0
2014,Audio Production,540000.0
2015,Audio Production,1575000.0
2016,Audio Production,305000.0
2017,Audio Production,4250000.0
2018,Audio Production,630000.0
2019,Audio Production,265000.0
2020,Audio Production,1055000.0
2021,Audio Production,290000.0
2022,Audio Production,130000.0
2023,Audio Production,150000.0
2024,Audio Production,250000.0
2025,Audio Production,110000.0
1997,Casual,0.0
1998,Casual,0.0
1999,Casual,0.0
2000,Casual,0.0
2001,Casual,0.0
2002,Casual,0.0
2003,Casual,150000.0
2004,Casual,0.0
2005,Casual,0.0
2006,Casual,37775000.0
2007,Casual,2040000.0
2008,Casual,6765000.0
2009,Casual,6470000.0
2010,Casual,8090000.0
2011,Casual,15185000.0
2012,Casual,20025000.0
2013,Casual,21250000.0
2014,Casual,98320000.0
2015,Casual,135700000.0
2016,Casual,176690000.0
2017,Casual,256010000.0
2018,Casual,189505000.0
2019,Casual,123640000.0
2020,Casual,210485000.0
2021,Casual,178320000.0
2022,Casual,129255000.0
2023,Casual,141230000.0
2024,Casual,143210000.0
2025,Casual,102810000.0
1997,Design & Illustration,0.0
1998,Design & Illustration,0.0
1999,Design & Illustration,0.0
2000,Design & Illustration,0.0
2001,Design & Illustration,0.0
2002,Design & Illustration,0.0
2003,Design & Illustration,0.0
2004,Design & Illustration,0.0
2005,Design & Illustration,0.0
2006,Design & Illustration,0.0
2007,Design & Illustration,0.0
2008,Design & Illustration,0.0
2009,Design & Illustration,0.0
2010,Design & Illustration,0.0
2011,Design & Illustration,0.0
2012,Design & Illustration,150000.0
2013,Design & Illustration,510000.0
2014,Design & Illustration,775000.0
2015,Design & Illustration,11735000.0
2016,Design & Illustration,2690000.0
2017,Design & Illustration,1445000.0
2018,Design & Illustration,36340000.0
2019,Design & Illustration,1470000.0
2020,Design & Illustration,6555000.0
2021,Design & Illustration,620000.0
2022,Design & Illustration,540000.0
2023,Design & Illustration,860000.0
2024,Design & Illustration,575000.0
2025,Design & Illustration,445000.0
1997,Documentary,0.0
1998,Documentary,0.0
1999,Documentary,0.0
2000,Documentary,0.0
2001,Documentary,0.0
2002,Documentary,0.0
2003,Documentary,0.0
2004,Documentary,0.0
2005,Documentary,0.0
2006,Documentary,0.0
2007,Documentary,0.0
2008,Documentary,0.0
2009,Documentary,0.0
2010,Documentary,0.0
2011,Documentary,0.0
2012,Documentary,0.0
2013,Documentary,0.0
2014,Documentary,0.0
2015,Documentary,0.0
2016,Documentary,0.0
2017,Documentary,0.0
2018,Documentary,0.0
2019,Documentary,0.0
2020,Documentary,10000.0
2021,Documentary,0.0
2022,Documentary,0.0
2023,Documentary,0.0
2024,Documentary,0.0
2025,Documentary,0.0
1997,Early Access,0.0
1998,Early Access,0.0
1999,Early Access,0.0
2000,Early Access,0.0
2001,Early Access,0.0
2002,Early Access,0.0
2003,Early Access,0.0
2004,Early Access,0.0
2005,Early Access,0.0
2006,Early Access,0.0
2007,Early Access,0.0
2008,Early Access,0.0
2009,Early Access,0.0
2010,Early Access,0.0
2011,Early Access,0.0
2012,Early Access,0.0
2013,Early Access,15820000.0
2014,Early Access,9070000.0
2015,Early Access,21275000.0
2016,Early Access,19810000.0
2017,Early Access,53620000.0
2018,Early Access,30220000.0
2019,Early Access,35755000.0
2020,Early Access,52455000.0
2021,Early Access,51120000.0
2022,Early Access,39980000.0
2023,Early Access,63630000.0
2024,Early Access,179280000.0
2025,Early Access,61705000.0
1997,Education,0.0
1998,Education,0.0
1999,Education,0.0
2000,Education,0.0
2001,Education,0.0
2002,Education,0.0
2003,Education,0.0
2004,Education,0.0
2005,Education,0.0
2006,Education,0.0
2007,Education,0.0
2008,Education,0.0
2009,Education,0.0
2010,Education,0.0
2011,Education,0.0
2012,Education,150000.0
2013,Education,885000.0
2014,Education,425000.0
2015,Education,1475000.0
2016,Education,650000.0
2017,Education,880000.0
2018,Education,705000.0
2019,Education,825000.0
2020,Education,5200000.0
2021,Education,1175000.0
2022,Education,280000.0
2023,Education,335000.0
2024,Education,240000.0
2025,Education,390000.0
1997,Episodic,0.0
1998,Episodic,0.0
1999,Episodic,0.0
2000,Episodic,0.0
2001,Episodic,0.0
2002,Episodic,0.0
2003,Episodic,0.0
2004,Episodic,0.0
2005,Episodic,0.0
2006,Episodic,0.0
2007,Episodic,0.0
2008,Episodic,0.0
2009,Episodic,0.0
2010,Episodic,0.0
2011,Episodic,0.0
2012,Episodic,0.0
2013,Episodic,0.0
2014,Episodic,0.0
2015,Episodic,0.0
2016,Episodic,0.0
2017,Episodic,0.0
2018,Episodic,0.0
2019,Episodic,0.0
2020,Episodic,10000.0
2021,Episodic,0.0
2022,Episodic,0.0
2023,Episodic,0.0
2024,Episodic,0.0
2025,Episodic,0.0
1997,Free To Play,0.0
1998,Free To Play,0.0
1999,Free To Play,0.0
2000,Free To Play,0.0
2001,Free To Play,0.0
2002,Free To Play,0.0
2003,Free To Play,0.0
2004,Free To Play,0.0
2005,Free To Play,0.0
